"Z(i) upper, cm","Z(i) lower, cm","ΔM_i, g","C_i, Bq kg^-1","u_C_i, Bq kg^-1"
0,1,84.162,96.766667,5.95511
1,2,76.436,92.666667,5.857758
2,3,88.073,86.666667,5.566267
3,4,136.069,87.666667,5.566267
4,5,99.256,77.166667,5.179125
5,6,89.176,70.866667,4.986315
6,7,163.809,54.566667,4.127146
7,8,95.119,35.266667,3.289883
8,9,105.168,29.966667,3.10859
9,10,172.739,27.866667,2.929733
10,11,109.757,23.966667,2.753785
11,12,100.547,18.466667,2.496664
12,13,119.071,12.266667,2.250185
13,14,114.389,8.166667,2.01825
14,15,111.616,4.766667,1.945079
